frequency	e'	e''
1000000000.0000	  56.3550	  17.4741
1190000000.0000	  55.2442	  15.3022
1380000000.0000	  55.3062	  14.5742
1570000000.0000	  54.9145	  14.2651
1760000000.0000	  54.3817	  13.6056
1950000000.0000	  54.0567	  12.7351
2140000000.0000	  53.9587	  12.7617
2330000000.0000	  53.6734	  12.6678
2520000000.0000	  53.7029	  12.5933
2710000000.0000	  53.7129	  12.6955
2900000000.0000	  52.9688	  12.8331
3090000000.0000	  53.1323	  12.4438
3280000000.0000	  52.2985	  13.1095
3470000000.0000	  52.2480	  12.5838
3660000000.0000	  52.5386	  12.8619
3850000000.0000	  51.9702	  13.0473
4040000000.0000	  52.3946	  12.6265
4230000000.0000	  51.7524	  13.3551
4420000000.0000	  51.4864	  13.1425
4610000000.0000	  51.6308	  13.8206
4800000000.0000	  51.2713	  13.5245
4990000000.0000	  50.9705	  13.9948
5180000000.0000	  50.6411	  13.8795
5370000000.0000	  51.2889	  13.3384
5560000000.0000	  50.5991	  14.5813
5750000000.0000	  50.3108	  14.1449
5940000000.0000	  50.2828	  14.5579
6130000000.0000	  49.7418	  14.7419
6320000000.0000	  49.9187	  14.6834
6510000000.0000	  49.1085	  14.8647
6700000000.0000	  49.0961	  14.5609
6890000000.0000	  49.0375	  15.2755
7080000000.0000	  48.4404	  14.8023
7270000000.0000	  48.5979	  15.1279
7460000000.0000	  47.9673	  15.3878
7650000000.0000	  48.1949	  14.9412
7840000000.0000	  47.3872	  15.9631
8030000000.0000	  47.5708	  15.1341
8220000000.0000	  46.9022	  15.6064
8410000000.0000	  46.2975	  16.0185
8600000000.0000	  46.8511	  15.6519
8790000000.0000	  44.8767	  16.1521
8980000000.0000	  45.5207	  14.9840
9170000000.0000	  45.5729	  16.1713
9360000000.0000	  44.1794	  15.4219
9550000000.0000	  44.7072	  15.9589
9740000000.0000	  44.3701	  16.3606
9930000000.0000	  43.2784	  15.1233
10120000000.0000	  42.4987	  16.7676
10310000000.0000	  43.8367	  15.2481
10500000000.0000	  40.2009	  14.1008
10690000000.0000	  41.5127	  14.7496
10880000000.0000	  43.6988	  15.4326
11070000000.0000	  40.3209	  12.8545
11260000000.0000	  42.8490	  14.6677
11450000000.0000	  43.9398	  15.5167
11640000000.0000	  46.8302	   6.8004
11830000000.0000	  41.9543	  15.5264
12020000000.0000	  46.2881	  16.4745
12210000000.0000	  52.5191	  16.4172
12400000000.0000	  42.2415	  20.1339
12590000000.0000	  41.6745	  22.0251
12780000000.0000	  44.9943	  24.3919
12970000000.0000	  38.7570	  18.8915
13160000000.0000	  38.7517	  23.9782
13350000000.0000	  39.8020	  25.0268
13540000000.0000	  38.0840	  19.0418
13730000000.0000	  36.5854	  23.3006
13920000000.0000	  37.5355	  22.1082
14110000000.0000	  37.5200	  20.9696
14300000000.0000	  35.3074	  21.9573
14490000000.0000	  36.5518	  22.9009
14680000000.0000	  36.3314	  22.0812
14870000000.0000	  33.1958	  22.3923
15060000000.0000	  35.2011	  23.5792
15250000000.0000	  34.3641	  21.7043
15440000000.0000	  32.4867	  22.8767
15630000000.0000	  34.8695	  22.3057
15820000000.0000	  34.2577	  22.3708
16010000000.0000	  33.3039	  23.7810
16200000000.0000	  33.8137	  23.8324
16390000000.0000	  34.0441	  24.7544
16580000000.0000	  31.9233	  24.9771
16770000000.0000	  32.4364	  24.6283
16960000000.0000	  32.3760	  24.8805
17150000000.0000	  30.4331	  24.6495
17340000000.0000	  32.9878	  25.2684
17530000000.0000	  31.5152	  26.0815
17720000000.0000	  32.3126	  26.7667
17910000000.0000	  32.2267	  27.7091
18100000000.0000	  31.2097	  28.1726
18290000000.0000	  29.4773	  26.7780
18480000000.0000	  31.0063	  29.2978
18670000000.0000	  29.6896	  26.2675
18860000000.0000	  30.1593	  28.2995
19050000000.0000	  30.9128	  27.2246
19240000000.0000	  30.1264	  30.1943
19430000000.0000	  29.8962	  30.8562
19620000000.0000	  29.6601	  28.8628
19810000000.0000	  28.3832	  35.1116
20000000000.0000	  27.3708	  25.0636
